workers=6 frame_rate=20 max_wave_rms_pct=50.0
id name                  src_s  out_s rows  rmse  rms% act% modes
-- --------------------- ------ ----- ----- ----- ----- ---- ----------------
00 SND_ACCURACY3          1.090 1.100    20 0.128 169.5  170 both:3,sil:5,tone:52
01 SND_BALLCLICK1         0.222 0.200     4 0.100 148.4  148 sil:4,tone:8
02 SND_BALLCLICK2         0.222 0.200     4 0.093 148.8  149 both:1,sil:3,tone:8
03 SND_BALLSDESTROYED1    1.011 1.000    20 0.189 196.2  196 both:1,sil:6,tone:53
04 SND_BALLSDESTROYED2    1.120 1.100    20 0.271 195.6  196 both:1,sil:20,tone:39
05 SND_BALLSDESTROYED3    1.721 1.700    34 0.366 185.6  185 both:2,sil:4,tone:94
06 SND_BALLSDESTROYED4    1.721 1.700    34 0.418 206.9  207 both:1,sil:4,tone:97
07 SND_BALLSDESTROYED5    1.721 1.700    34 0.443 202.5  202 both:2,sil:4,tone:96
08 SND_BOMBEXPLODE        2.209 2.200    33 0.277 208.5  209 sil:19,tone:89
09 SND_BUTTON1            0.494 0.500     6 0.068 196.2  197 both:1,sil:8,tone:11
10 SND_BUTTON2            0.248 0.250     5 0.087 191.5  192 both:2,sil:1,tone:10
11 SND_CHAIN1             0.825 0.850    12 0.087 157.2  157 both:1,sil:12,tone:26
12 SND_CHANT1             2.490 2.500    42 0.179 195.3  195 both:6,sil:22,tone:104
13 SND_CHANT14            2.435 2.450    39 0.224 213.6  214 both:1,sil:33,tone:91
14 SND_CHANT2             1.939 1.950    29 0.213 191.3  191 both:4,sil:22,tone:69
15 SND_CHANT3             0.967 0.950    15 0.200 197.3  197 sil:16,tone:31
16 SND_CHANT4             1.126 1.150    19 0.170 183.3  183 both:1,sil:25,tone:29
17 SND_CHANT5             2.006 2.000    31 0.229 177.6  178 both:3,sil:29,tone:68
18 SND_CHANT6             2.003 2.000    30 0.192 180.0  180 both:1,sil:27,tone:70
19 SND_CHANT8             4.522 4.500    79 0.297 204.5  205 both:2,sil:36,tone:206
20 SND_CHIME1             0.658 0.650    13 0.216 134.1  134 both:3,sil:9,tone:23
21 SND_CHORAL1            2.580 2.600    52 0.437 239.8  240 both:3,sil:18,tone:133
22 SND_COINGRAB           0.824 0.800    13 0.108 134.6  135 both:3,sil:9,tone:28
23 SND_EARTHQUAKE         3.583 3.600    69 0.515 219.4  219 sil:8,tone:200
24 SND_ENDOFLEVELPOP1     0.368 0.350     7 0.142 177.0  177 sil:4,tone:17
25 SND_EXTRALIFE          0.461 0.450     9 0.292 154.8  155 both:3,sil:3,tone:19
26 SND_FIREBALL1          0.764 0.750    15 0.129 186.7  187 sil:7,tone:38
27 SND_FROGLAND2          2.363 2.350    36 0.479 237.9  238 sil:28,tone:89
28 SND_GAPBONUS1          1.217 1.200    24 0.240 168.1  168 both:2,tone:70
29 SND_GEMVANISHES        0.949 0.950     8 0.042 103.2  103 sil:28,tone:1
30 SND_JEWELAPPEAR        1.245 1.250    15 0.154 153.7  154 both:4,sil:34,tone:13
31 SND_LIGHTTRAIL2        0.529 0.550    11 0.166 275.4  275 sil:6,tone:23
32 SND_POP                0.215 0.200     4 0.249 174.7  175 sil:3,tone:9
33 SND_REVERSE1           2.970 2.950    59 0.463 210.1  210 both:7,tone:170
34 SND_ROLLING            1.194 1.200    24 0.570 236.1  236 tone:72
35 SND_SLOWDOWN1          2.213 2.200    44 0.237 158.4  158 both:5,sil:1,tone:126
36 SND_UFO1               2.027 2.050    41 0.307 265.1  265 sil:6,tone:117
37 SND_WARNING1           0.361 0.350     6 0.712 216.4  216 sil:2,tone:15
